'Titulo','Direção','Nota','Link','Ano','Categoria'
'Viva - A Vida é uma Festa','Lee Unkrich Adrian Molina','3.7','https://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','Animação, Família, Fantasia'
'De Volta para o Futuro','Robert Zemeckis','4.7','https://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','Aventura, Comédia, Ficção Científica'
'Django Livre','Quentin Tarantino','4.3','https://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','Faroeste'
'O Silêncio dos Inocentes','Jonathan Demme','4.6','https://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','Policial, Suspense, Terror'
'O Senhor dos Anéis - A Sociedade do Anel','Peter Jackson','4.6','https://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','Aventura, Fantasia'
'O Senhor dos Anéis - As Duas Torres','Peter Jackson','4.6','https://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','Aventura, Fantasia'
'Intocáveis','Eric Toledano Olivier Nakache','3.0','https://www.adorocinema.com/filmes/filme-182745/','31 de agosto de 2012','Biopic, Comédia, Drama'
'Interestelar','Christopher Nolan','3.8','https://www.adorocinema.com/filmes/filme-114782/','6 de novembro de 2014','Drama, Ficção Científica'
'Sempre ao Seu Lado','N/A','4.6','https://www.adorocinema.com/filmes/filme-128959/','25 de dezembro de 2009','Drama, Família'
'Toy Story - Um Mundo de Aventuras','John Lasseter','4.6','https://www.adorocinema.com/filmes/filme-14264/','22 de dezembro de 1995','Animação, Comédia, Família'
'Três Homens em Conflito','Sergio Leone','4.6','https://www.adorocinema.com/filmes/filme-19395/','1 de outubro de 2020','Faroeste'
'À Procura da Felicidade','Gabriele Muccino','4.6','https://www.adorocinema.com/filmes/filme-54098/','2 de fevereiro de 2007','Biopic, Drama'
'Toy Story 3','Lee Unkrich','4.6','https://www.adorocinema.com/filmes/filme-126123/','18 de junho de 2010','Animação, Aventura, Comédia, Fantasia'
'Harry Potter e as Relíquias da Morte - Parte 2','David Yates','4.6','https://www.adorocinema.com/filmes/filme-134925/','15 de julho de 2011','Aventura, Fantasia'
'Divertida Mente','Pete Docter','4.5','https://www.adorocinema.com/filmes/filme-196960/','18 de junho de 2015','Animação, Comédia, Família'
'Cantando na Chuva','Stanley Donen Gene Kelly','4.6','https://www.adorocinema.com/filmes/filme-5120/','30 de junho de 1952','Comédia Musical'
'Bastardos Inglórios','Quentin Tarantino','4.6','https://www.adorocinema.com/filmes/filme-60208/','9 de outubro de 2009','Ação, Guerra'
'Ben-Hur','William Wyler','4.6','https://www.adorocinema.com/filmes/filme-1532/','29 de janeiro de 1960','Aventura, Drama, Histórico, Épico'
'Star Wars: O Império Contra-ataca','Irvin Kershner','4.6','https://www.adorocinema.com/filmes/filme-25802/','21 de julho de 1980','Aventura, Ficção Científica'
'Homens de Honra','N/A','4.6','https://www.adorocinema.com/filmes/filme-27434/','23 de março de 2001','Biopic, Drama'
'Até o Último Homem','Mel Gibson','3.3','https://www.adorocinema.com/filmes/filme-208104/','26 de janeiro de 2017','Biopic, Drama, Guerra'
'A Origem','Christopher Nolan','4.6','https://www.adorocinema.com/filmes/filme-143692/','6 de agosto de 2010','Ficção Científica, Suspense'
'Logan','James Mangold','4.0','https://www.adorocinema.com/filmes/filme-225116/','2 de março de 2017','Ação, Ficção Científica'
'O Sexto Sentido','M. Night Shyamalan','4.6','https://www.adorocinema.com/filmes/filme-22092/','22 de outubro de 1999','Drama, Suspense'
'Histórias Cruzadas','Tate Taylor','3.2','https://www.adorocinema.com/filmes/filme-176673/','3 de fevereiro de 2012','Drama'
'Wall-E','Andrew Stanton','4.6','https://www.adorocinema.com/filmes/filme-123734/','27 de junho de 2008','Animação, Aventura, Família, Ficção Científica'
'Matrix','Lana Wachowski Lilly Wachowski','4.6','https://www.adorocinema.com/filmes/filme-19776/','21 de maio de 1999','Ação, Ficção Científica'
'Coringa','Todd Phillips','4.2','https://www.adorocinema.com/filmes/filme-258374/','3 de outubro de 2019','Drama'
'A Bela e a Fera','Gary Trousdale Kirk Wise','4.8','https://www.adorocinema.com/filmes/filme-7229/','10 de julho de 1992','Animação, Comédia Musical, Família, Romance'
'Seven - Os Sete Crimes Capitais','David Fincher','4.6','https://www.adorocinema.com/filmes/filme-13892/','15 de dezembro de 1995','Drama, Policial, Suspense'
'O Pianista','Roman Polanski','4.6','https://www.adorocinema.com/filmes/filme-28359/','7 de março de 2003','Drama, Histórico'
'Batman - O Cavaleiro das Trevas Ressurge','Christopher Nolan','4.0','https://www.adorocinema.com/filmes/filme-132874/','27 de julho de 2012','Ação, Suspense'
'Jurassic Park - Parque dos Dinossauros','Steven Spielberg','5.0','https://www.adorocinema.com/filmes/filme-8488/','13 de junho de 1993','Aventura, Ficção Científica'
'Procurando Nemo','Andrew Stanton Lee Unkrich','4.5','https://www.adorocinema.com/filmes/filme-29057/','4 de julho de 2003','Animação, Aventura, Família'
'Coração Valente','Mel Gibson','4.6','https://www.adorocinema.com/filmes/filme-10080/','14 de julho de 1995','Biopic, Drama, Histórico'
'A Noviça Rebelde','Robert Wise','4.6','https://www.adorocinema.com/filmes/filme-238/','3 de maio de 1965','Comédia Musical, Drama, Família'
